Absorbate;Initial Concentration;Amount of adsorbent;Amount of adsorbate adsorbed per unit mount of adsorbent;% removal of adsorbate
BR;1000;2;39;78
BR;1000;4;21,5;86
BR;1000;6;14,91667;89,5
BR;1000;8;11,5625;92,5
BR;1000;10;9,375;93,75
AR;100;2;3,85;77
AR;100;4;2,188;87,5
AR;100;6;1,576;94,58
AR;100;8;1,224;97,92
AR;100;10;0,988;98,75
MG;500;0,5;98,75;98,75
MG;500;1;49,583;99,17
MG;500;1,5;33,056;99,17
MG;500;2;24,844;99,38
MG;500;2,5;19,875;99,38
MG;500;3;16,597;99,58
MG;500;4;12,448;99,58
MB;500;1;48,464;96,93
MB;500;1,5;33,021;99,06
MB;500;2;24,974;99,9
MB;500;2,5;19,99;99,95
MB;500;3;16,667;100
